,date,volume,open,close,high,low,adjclose,open_50SMA,open_200SMA,open_12EMA,open_26EMA,MACD,MACD_signal_line,stochastic_oscillator,so_3SMA,RSI_EMA,RSI_SMA,upper_band,middle_band,lower_band
9157,1982-07-14,17780000,0.2232142835855484,0.2232142835855484,0.2276785671710968,0.2232142835855484,0.010081020183861256,0.2439732152223587,0.30739955440163613,0.21808854818116952,0.22736698888294554,-0.009278440701776025,-0.009692427510626924,52.380943298339844,39.68253665500221,55.389584495738816,34.37499608844496,0.2549940439698899,0.22566964328289033,0.19634524259589076
9156,1982-07-15,16447200,0.2276785671710968,0.2276785671710968,0.2299107164144516,0.2276785671710968,0.010282642208039759,0.24290178656578065,0.3071875007450581,0.21956393571808142,0.22739006876055823,-0.007826133042476813,-0.009319168616996902,72.22221398059145,57.407404660197194,60.404774366991816,38.2352889202866,0.2537986319608339,0.22511160746216774,0.19642458296350157
9155,1982-07-16,19252800,0.2366071492433548,0.2366071492433548,0.2388392835855484,0.2366071492433548,0.010685885325074196,0.24200892955064773,0.3070089293271303,0.2221859685681235,0.22807281558395298,-0.005886847015829477,-0.008632704296763417,100.0,74.86771909297715,68.56113764888173,48.571434020996094,0.2537986319608339,0.22511160746216774,0.19642458296350157
9154,1982-07-19,20944000,0.2388392835855484,0.2388392835855484,0.2410714328289032,0.2388392835855484,0.010786693543195723,0.2410714292526245,0.3068415185809135,0.2247480170323427,0.22887033186305225,-0.004122314830709545,-0.007730626403552643,100.0,90.74073799353054,70.32448451931654,51.428565979003906,0.25439241486351094,0.22533482164144517,0.1962772284193794
9153,1982-07-20,12426400,0.2544642984867096,0.2544642984867096,0.2566964328289032,0.2544642984867096,0.011492370627820492,0.24035714387893678,0.30664062574505807,0.22931975264070686,0.23076618153055942,-0.0014464288898525524,-0.006473786900812625,100.0,100.00000000000006,79.57668716791892,64.10256849159724,0.25837800963122265,0.22656250074505807,0.1947469918588935
9152,1982-07-21,17925600,0.2544642984867096,0.2544642984867096,0.2566964328289032,0.2544642984867096,0.011492370627820492,0.2396875011920929,0.3063950900733471,0.23318814430932266,0.2325215978482792,0.0006665464610434713,-0.005045720228441406,100.0,100.00000000000006,79.57668716791892,65.78948293035995,0.26113462613114463,0.22734375149011612,0.19355287684908762
9151,1982-07-22,8803200,0.2566964328289032,0.2566964328289032,0.2589285671710968,0.2566964328289032,0.011593177914619446,0.23924107253551483,0.3061607150733471,0.23680480408156582,0.23431232659856657,0.0024924774829992447,-0.0035380806861532756,100.0,100.00000000000006,80.71996152748197,66.66667237241072,0.2632885659218309,0.2279017873108387,0.1925150086998465
9150,1982-07-23,4575200,0.2544642984867096,0.2522321343421936,0.2544642984867096,0.2522321343421936,0.01139155589044094,0.23888392984867096,0.3058370544016361,0.23952164937466489,0.23580506543694504,0.0037165839377198417,-0.0020871477613786517,96.15386096683424,98.71795365561148,75.82250797179572,74.28573117937682,0.26487849237303007,0.2283482164144516,0.19181794045587314
9149,1982-07-26,14212800,0.2433035671710968,0.2410714328289032,0.2433035671710968,0.2410714328289032,0.010887503623962402,0.23830357253551482,0.30540178656578065,0.24010348288180827,0.23636051007186057,0.0037429728099477033,-0.0009211236471133803,76.92306309762137,91.0256413548186,56.163427041450056,72.22221913161125,0.2654247488821352,0.22857143059372903,0.19171811230532287
9148,1982-07-27,8080800,0.2410714328289032,0.2410714328289032,0.2433035671710968,0.2410714328289032,0.010887503623962402,0.2378125011920929,0.3049441972374916,0.2402523982582844,0.2367094673491981,0.003542930909086306,-2.8312735873442787e-05,73.07692406445561,82.05128270963714,52.992714885147876,72.22221913161125,0.2659060683721399,0.22879464477300643,0.19168322117387293
